biolab_index,rdkit,standard_value,Binary,assay_type,not_sure
7290463500418467732,c1ccc2c(c1)Nc1ncccc1-n1c(-c3ccc(C4CCCN4)cc3)nnc1-2,5.95860731484177,0,binding,0
1223157003068302412,O=C(NCc1ccccc1Cl)NC1CCN(Cc2ccc(-c3nnc4n3-c3cccnc3Nc3ccccc3-4)cc2)CC1,6.0409586076789115,0,binding,1
8801019449174274745,Cc1ccc2c(c1)-c1nnc(-c3ccc(C4(N)CCC4)cc3)n1-c1cccnc1N2,6.01772876696043,0,binding,1
-6711275103406379182,CN1c2ccccc2-c2nnc(-c3ccc4ccccc4c3)n2-c2ccccc21,4.1739251972991696,0,binding,0
3249683499098211355,O=c1[nH]c2ccccc2n1C1CCN(Cc2ccc(-c3nnc4n3-c3ccccc3Nc3ccccc3-4)cc2)CC1,6.0268721464003,0,binding,1
7191627495922174538,O=C(Cc1ccccc1)Nc1ccc(-c2nnc3n2-c2cccnc2Nc2ccccc2-3)cc1,6.619788758288388,0,binding,1
-4174886485633648880,Clc1ccc2nc(CCNCc3ccc(-c4nnc5n4-c4cccnc4Nc4ccccc4-5)cc3)[nH]c2c1,6.82390874094432,0,binding,1
-5223117306684481081,Fc1cccc(F)c1-c1nnc2n1-c1cccnc1Nc1ccccc1-2,4.5528419686577815,0,binding,0
-7612446729318897044,O=S(=O)(Nc1ccc(-c2nnc3n2-c2cccnc2Nc2ccccc2-3)cc1)c1ccccc1,5.18045606445813,0,binding,0
-188776708442668770,Cc1ccc(CN2CCN(Cc3ccc(-c4nnc5n4-c4cccnc4Nc4ccccc4-5)cc3)CC2)cc1,5.55284196865778,0,binding,0
-1322545445026700007,O=C(Nc1ccc(-c2nnc3n2-c2cccnc2Nc2ccccc2-3)cc1)c1cnc2ccccc2n1,6.795880017344071,0,binding,1
7553241130562114301,O=C(Nc1ccc(-c2nnc3n2-c2cccnc2Nc2ccccc2-3)cc1)c1ccc(C(F)(F)F)cc1,6.18708664335714,0,binding,1
-6645857164546095627,Fc1ccc(-c2nnc3n2-c2cccnc2Nc2ccccc2-3)cc1,4.6382721639824105,0,binding,0
-2114400976128574550,c1ccc(OC2CCN(Cc3ccc(-c4nnc5n4-c4cccnc4Nc4ccccc4-5)cc3)CC2)cc1,6.08092190762393,0,binding,1
-2730304229614493373,O=S(=O)(Cc1ccccc1)NC1CCN(Cc2ccc(-c3nnc4n3-c3cccnc3Nc3ccccc3-4)cc2)CC1,5.744727494896691,0,binding,0
-4967781283050909631,CC(C)CCNCc1ccc(-c2nnc3n2-c2cccnc2Nc2ccccc2-3)cc1,5.3565473235138095,0,binding,0
