"","standard_value","Binary","assay_type","not_sure","rdkit"
"424",6.61978875828839,0,"binding",1,"COc1ccc(Nc2ncc3nc(Nc4ccccc4F)n([C@H]4CC[C@@H](C(N)=O)CC4)c3n2)cc1"
"425",8.95860731484177,1,"binding",0,"CC(C)Nc1nc(-c2ccccc2Cl)c2c(n1)N(c1c(Cl)cccc1Cl)C(=O)NC2"
"426",6.69897000433602,0,"binding",1,"Cc1ccc(NC(=O)c2cccs2)cc1-c1ccc(C(=O)NCC2CC2)cc1"
"427",8.04575749056067,1,"binding",0,"Cc1ccc(C(=O)Nc2cccc(C(F)(F)F)c2C)cc1-c1ccc2nc(NCCN3CCCCC3)ncc2c1"
"428",6.0087739243075,0,"binding",1,"Nc1c(C(=O)c2ccc(-c3cccnc3)cc2)cnn1-c1ccc(F)cc1"
"429",5.50863830616573,0,"binding",0,"Fc1ccc(-c2c(-c3ccncc3)[nH]c3ccncc23)cc1"
"430",6.35654732351381,0,"binding",1,"COc1ccc(N(C(=O)Oc2c(C)cccc2C)c2ccnc(Nc3ccc(N4CCN(C)CC4)c(OC)c3)n2)c(OC)c1"
"431",6.9076542845912,0,"binding",1,"CC(C)(C)c1cc(NC(=O)Nc2cccc3ccccc23)n(-c2cccc(N)c2)n1"
"432",8.22184874961636,1,"binding",0,"Nc1cc(-c2ccccc2Cl)c2c(c1)N(c1c(Cl)cccc1Cl)C(=O)NC2"
"433",8.52287874528034,1,"binding",0,"CN1CCC(n2cnc(-c3ccc(F)cc3)c2-c2ccnc(Nc3ccccc3)n2)CC1"
"434",6,0,"binding",0,"COc1ccc(CNc2nccc(-c3ncn(Cc4cccc(C#N)c4)c3-c3ccc(F)cc3)n2)cc1"
"435",7.57839607313017,1,"binding",0,"CC(C)c1nnc2ccc(-c3ocnc3-c3ccc(Cl)c(Cl)c3)cn12"
"436",9.56863623584101,1,"binding",0,"[O-][n+]1ccc2c(-c3ccccc3Cl)cc(C3CCNCC3)nc2c1-c1c(F)cccc1F"
"437",8.82390874094432,1,"binding",0,"Cn1c(=O)cc(Nc2cc(C(=O)NC3CC3)ccc2Cl)c2cnn(-c3ccc(F)cc3)c21"
"438",7,1,"binding",1,"CCn1c(=O)n(CC)c2cc(-c3[nH]cnc3-c3ccc(F)cc3)ccc21"
"439",7.04575749056067,1,"binding",1,"Cc1nc(COc2ccc(C(=O)Nc3cc(NC(=O)c4cc(F)cc(N5CCOCC5)c4)ccc3C)cc2)cs1"
"440",5.30329421906608,0,"binding",0,"C#CCOCCn1c(SCc2ccc([S+](C)[O-])cc2)nc(-c2ccc(F)cc2)c1-c1ccnc(NC(C)=O)c1"
"441",7.04575749056067,1,"binding",1,"CCn1c(=O)n(CC)c2cc(-c3c(-c4ccc(F)cc4)ncn3C3CCNCC3)ccc21"
"442",5.64975198166584,0,"binding",0,"CCOC(=O)C(Sc1nc(-c2ccc(F)cc2)c(-c2ccncc2)[nH]1)C(=O)OCC"
"443",8.09691001300806,1,"binding",0,"CC(=O)Nc1cnccc1CCOc1ccc(NC(=O)Nc2cc(C(C)(C)C)nn2-c2ccc(C)cc2)c2ccccc12"
