biolab_index,rdkit,standard_value,Binary,assay_type,not_sure
4057853915554637762,Cc1ccc(C(=O)NC2CC2)cc1-c1ccc2c(OC(C)C)cncc2c1,9.22184874961636,1,binding,0
5133937077791624948,Cc1cccc(C(=O)Nc2ccc(C)c(Nc3ncnn4cc(C(=O)N[C@@H](C)c5ccccc5)c(C)c34)c2)c1,7.0268721464003,1,binding,1
2965196607045238045,Nc1nc2ccc(-c3ocnc3-c3ccccc3F)cc2s1,7.7958800173440705,1,binding,0
-7505630822683298968,NC(=O)c1ccc(-c2nc(-c3ccc4c(c3)OCCO4)c(-c3ccccn3)[nH]2)cc1,4.9208187539523705,0,binding,0
-6466179237218506125,COc1ccc(N(C(=O)Oc2c(C)cccc2C)c2ccnc(Nc3ccc(OCCN4CCCCC4)cc3)n2)c(OC)c1,5.49485002168009,0,binding,0
2561873551001392316,COCCn1c(SC)nc(-c2ccc(F)cc2)c1-c1ccnc(NC[C@H]2CCCC[C@@H]2O)c1,6.62893213772826,0,binding,1
-3261026288238919071,CC(C)c1nnc2ccc(-c3ocnc3-c3ccc(F)cc3Cl)cn12,8.60205999132796,1,binding,0
-5071838685585645746,Fc1ccccc1-c1ncoc1-c1ccc2ncsc2c1,7.32790214206428,1,binding,1
8022402004162444580,CC(C)Nc1nc2ccc(-c3c(-c4ccccc4F)n[nH]c3N)cc2s1,8.431798275933009,1,binding,0
-11079630539572628,COc1ccccc1-c1nnc2ccc(-c3ocnc3-c3ccc(F)cc3)cn12,9.39794000867204,1,binding,0
-6417327535757136768,Cc1cccc(C)c1OC(=O)N(c1ccnc(Nc2ccc(N3CCN(C)CC3)cc2)n1)c1ccc(F)cc1OC(C)C,5.92081875395237,0,binding,0
-1957606449061076917,Cc1cccc(C)c1OC(=O)N(c1ccc(-c2ccccc2)cc1)c1ccnc(Nc2ccc(N3CCN(C)CC3)cc2)n1,5.744727494896691,0,binding,0
8449739414480100790,CC(C)c1nnc2ccc(-c3ocnc3-c3cc(F)c(F)cc3Cl)cn12,8.2518119729938,1,binding,0
5094657874126065061,CN(C)Cc1cc(C(=O)N[C@@H]2CCc3ccc(Oc4ccnc5c4CCC(=O)N5)cc3C2)cc(C(F)(F)F)c1,7.040958607678911,1,binding,1
6253526097530946994,CCOC(=O)Nc1ccc(C)c(Nc2ncnn3cc(C(=O)NC(C)C)c(C)c23)c1,8.11350927482752,1,binding,0
-3303107651640805019,CC1(c2nnc3ccc(-c4ocnc4-c4cc(F)ccc4F)cn23)CC1,8.52287874528034,1,binding,0
-7473085038763983558,CSc1nc(-c2ccc(F)cc2)c(-c2ccnc(NC(Cc3ccccc3)c3ccccc3)c2)[nH]1,6.45842075605342,0,binding,1
2571749828782239395,O=c1c(Br)c(OCc2c(F)cc(F)cc2F)cnn1-c1c(Cl)cccc1Cl,6.267606240177031,0,binding,1
-1521838510071317856,CSc1nc(-c2ccc(F)cc2)c(-c2ccnc(NCC(C)O)c2)[nH]1,7.67778070526608,1,binding,0
7518823628732824367,c1ccc(-c2ncoc2-c2ccc3nnc(C4CCC4)n3c2)cc1,7.7798919119599494,1,binding,0
-8831421860759174038,CSc1nc(-c2ccc(F)cc2)c(-c2ccnc(Oc3ccc(C)cc3)c2)[nH]1,7.481486060122111,1,binding,1
-6496040642033332564,Cc1cc(OCc2ccc(F)cc2F)c(Br)c(=O)n1-c1cccnc1,6.8239087409443195,0,binding,1
-5601696716654544637,CONC(=O)c1ccc(C)c(Nc2ncnn3cc(NC(C)=O)c(C)c23)c1,8.443697499232709,1,binding,0
6689656131608397381,COC(=O)c1ccc(C)c(-n2ncc(OCc3ccc(F)cc3F)c(Br)c2=O)c1,7.0,1,binding,1
-1243415137265750737,Cc1ccc(-c2ncc(CN3CCOCC3)s2)cc1NC(=O)c1ccc(OCc2ccccn2)cc1,4.52287874528034,0,binding,0
-5628311653975206617,CC(C)Nc1nc2ccc(-c3ocnc3-c3ccccc3F)cc2s1,8.19382002601611,1,binding,0
4741473288750739665,Fc1cc(F)c(-c2ncoc2-c2ccc3nnc(C4CC4)n3c2)cc1F,8.10790539730952,1,binding,0
2607983100258677055,CSc1nc(-c2ccc(F)cc2)c(-c2ccnc(NCC3CCCO3)c2)[nH]1,7.455931955649719,1,binding,1
-8115413749620090432,COCCn1c(SC)nc(-c2ccc(F)cc2)c1-c1ccnc(NCC(C)O)c1,6.83564714421556,0,binding,1
-7551773668192454148,CC(C)c1nnc2ccc(-c3ocnc3-c3ccc(Cl)c(Cl)c3)cn12,7.57839607313017,1,binding,0
3393430670849274016,CONC(=O)c1ccc(C)c(Nc2ncnn3cc(C(=O)NCc4ccccn4)c(C)c23)c1,8.92081875395237,1,binding,0
818052394217063543,OCCSc1nc(-c2ccc(F)cc2)c(-c2ccnc(NC3CCOCC3)c2)[nH]1,8.69897000433602,1,binding,0
-7267659732853300676,CC(C)c1nnc2ccc(-c3ocnc3-c3ccccc3)cn12,8.01772876696043,1,binding,0
9119297403985921394,NCCC(=O)NCCOc1cc(-c2ccccc2Cl)c2ccc(=O)n(-c3c(Cl)cccc3Cl)c2c1,9.244125144327509,1,binding,0
-3110514044937747172,CCc1nnc2ccc(-c3ocnc3-c3ccccc3)cn12,7.26360349772336,1,binding,1
-8912945463296350593,FC(F)c1nnc2ccc(-c3ocnc3-c3ccccc3)cn12,6.26440110030182,0,binding,1
5686672601544705872,CC1(c2nnc3ccc(-c4ocnc4-c4cc(F)ccc4F)cn23)CCC1,8.82390874094432,1,binding,0
8157853941112600415,COc1ccc2c(Oc3ccc(NC(=O)c4c(C)n(CC(C)(C)O)n(-c5ccccc5)c4=O)nc3)ccnc2c1,4.0,0,binding,0
-2159022178206181010,CNC(=O)c1cn2ncnc(Nc3cc(C(=O)NOC)ccc3C)c2c1C,7.6382721639824105,1,binding,0
6613081162493759312,Cc1cnc(-c2ccc(C)c(NC(=O)c3ccc(OCc4ccccn4)cc3)c2)[nH]1,5.229147988357861,0,binding,0
3980952942125109236,CCC(C)Nc1cc(-c2[nH]c(SCC(O)CO)nc2-c2ccc(F)cc2)ccn1,8.30102999566398,1,binding,0
4261586426754098299,CSc1nc(-c2ccc(F)cc2)c(-c2ccnc(NC(C)CCc3ccccc3)c2)[nH]1,7.8860566476931595,1,binding,0
6703865749847230161,Cc1cccc(C)c1OC(=O)N(c1cccc(-c2ccccc2)c1)c1ccnc(Nc2ccc(N3CCN(C)CC3)cc2)n1,5.09691001300806,0,binding,0
-5971187164095172364,CC(C)(C)CNc1nc(-c2ccccc2Cl)c2c(n1)N(c1c(Cl)cccc1Cl)C(=O)NC2,9.09691001300806,1,binding,0
5876184792723701268,Cc1ccc(C(=O)NC2CC2)cc1-c1ccc2c(-c3ccccc3C)nncc2c1,9.09691001300806,1,binding,0
6682586112683197236,CNc1ncc(C(=O)Nc2cc(C(=O)Nc3cccc(C(F)(F)F)c3)ccc2C)c(OC)n1,5.5654310959658,0,binding,0
-1518586115695364667,CC(C)Nc1nc2ccc(-c3[nH]cnc3-c3ccccc3)cc2s1,8.14874165128093,1,binding,0
-5188542242826220233,Cc1ccc(-c2cc(C(F)(F)F)n[nH]2)cc1NC(=O)c1ccc(OCc2ccccn2)cc1,4.0,0,binding,0
-1198844138660112396,FC(F)(F)Cc1nnc2ccc(-c3ocnc3-c3ccccc3)cn12,7.079876673709281,1,binding,1
1284777793604554574,O=C1NCc2c(-c3ccccc3Cl)nc(NC3CN4CCC3CC4)nc2N1c1c(Cl)cccc1Cl,8.92081875395237,1,binding,0
-3414226401275636723,Cc1ccc(-c2ccccn2)cc1NC(=O)c1ccc(OCc2ccccn2)cc1,4.82390874094432,0,binding,0
3895744996500362652,COc1ccc(N(C(=O)Oc2c(C)cccc2C)c2ccnc(Nc3cc(OC)c(OCCN4CCOCC4)c(OC)c3)n2)c(OC)c1,5.92081875395237,0,binding,0
