"","A","P","N","margin"
"9664","CONC(=O)c1ccc(C)c(Nc2ncnn3cc(NC(=O)C(C)C)c(C)c23)c1","Cc1ccccc1-c1nncc2nc(Nc3ccc(F)cc3F)ccc12","Fc1ccc(-c2nc(-c3ccccc3)[nH]c2-c2ccnc3[nH]c4ccccc4c23)cc1","random"
"9665","C#CCOCCn1c(SC)nc(-c2ccc(F)cc2)c1-c1ccnc(NC(C)=O)c1","Nc1ccc2c(c1)C(=O)c1ccc(Nc3ccc(F)cc3)cc1OC2","COc1ccc(/C=C/C(=O)Nc2cc(-c3c(-c4ccc(F)cc4)nc(SC)n3C)ccn2)cc1","margin = 0.35"
"9666","C#CCOCCn1c(SC)nc(-c2ccc(F)cc2)c1-c1ccnc(NC(C)=O)c1","CCCc1c(C(=O)Nc2cc(S(=O)(=O)N(C)C)ccc2C)cnn1-c1ccccc1","CCN(CC)C(=O)Cn1c(SC)nc(-c2ccc(F)cc2)c1-c1ccnc(NC(C)=O)c1","margin = 0.35"
"9667","C#CCOCCn1c(SC)nc(-c2ccc(F)cc2)c1-c1ccnc(NC(C)=O)c1","CCn1c(=O)n(CC)c2cc(-c3[nH]ncc3-c3ccccc3)ccc21","CCn1c(SC)nc(-c2ccc(F)cc2)c1-c1ccnc(NC(=O)/C=C/c2ccc(OC)cc2OC)c1","margin = 0.35"
"9668","C#CCOCCn1c(SC)nc(-c2ccc(F)cc2)c1-c1ccnc(NC(C)=O)c1","Cc1cccc(C)c1Sc1ccc2c(n1)CNC(=O)N2c1c(Cl)cccc1Cl","CCn1c(SC)nc(-c2ccc(F)cc2)c1-c1ccnc(NC(=O)/C=C/c2ccc(OC)cc2)c1","margin = 0.35"
"9669","C#CCOCCn1c(SC)nc(-c2ccc(F)cc2)c1-c1ccnc(NC(C)=O)c1","Cc1nnc(-c2ccc(C)c(-c3ccc(C(=O)N(C)c4cccc(C#N)c4)cc3)c2)o1","COCCn1c(SC)nc(-c2ccc(F)cc2)c1-c1ccnc(NC2CCCCC2)c1","margin = 0.35"
"9670","C#CCOCCn1c(SC)nc(-c2ccc(F)cc2)c1-c1ccnc(NC(C)=O)c1","CCc1nc(-c2cccc(C)c2)c(-c2ccnc(N3CCCC3)c2)s1","CNc1nccc(-c2c(-c3ccc(F)cc3)ncn2[C@H]2CC[C@H](O)CC2)n1","random"
"9671","C#CCOCCn1c(SC)nc(-c2ccc(F)cc2)c1-c1ccnc(NC(C)=O)c1","Cc1cccc(-c2nn(CC(=O)Nc3cccc(C#N)c3)cc2-c2ccc3ncnn3c2)n1","Cc1ccc(C(=O)Nc2cccc(C(F)(F)F)c2)cc1C(=O)Nc1cnc(N)nc1","random"
"9672","C#CCOCCn1c(SC)nc(-c2ccc(F)cc2)c1-c1ccnc(NC(C)=O)c1","CC(C)(C)c1ccc(NC(=O)Nc2cccc(Cl)c2Cl)s1","COc1cc(F)c(-c2c(N)c(C(=O)c3ccc(F)cc3F)cc[n+]2[O-])c(F)c1","random"
"9673","C#CCOCCn1c(SC)nc(-c2ccc(F)cc2)c1-c1ccnc(NC(C)=O)c1","CNc1cc(-c2cccnc2Nc2c(C)ccc3c(Nc4ccc(C#N)cc4)nccc23)ncn1","Cc1ccc(C(=O)Nc2ccn[nH]2)cc1NC(=O)c1cnc(NC(C)C)s1","random"
"9674","C#CCOCCn1c(SC)nc(-c2ccc(F)cc2)c1-c1ccnc(NC(C)=O)c1","CS(=O)(=O)N1CCC(c2[nH]nc(-c3ccc(Cl)cc3)c2-c2ccncn2)CC1","COC(=O)c1cn2ncnc(Nc3cc(C(N)=O)ccc3C)c2c1C","random"
"9675","Cc1ccc(C(=O)NC2CC2)cc1-c1cc2c(cn1)C1(CCCC1)C(=O)N2","O=C1c2ccc(Nc3ccc(F)cc3F)cc2CCc2ccc(O)cc21","Cc1ccc(C(=O)NC(C)(C)C)cc1-c1ccc2c(c1)NC(=O)C21CCCC1","margin = 0.35"
"9676","Cc1ccc(C(=O)NC2CC2)cc1-c1cc2c(cn1)C1(CCCC1)C(=O)N2","Nc1c(C(=O)c2ccc(F)cc2F)cc[n+]([O-])c1-c1cccc2c1OCO2","Cc1ccc(C(=O)NC2CC2)cc1-c1ccc2c(c1)NC(=O)C2(CCO)CCO","margin = 0.35"
"9677","Cc1ccc(C(=O)NC2CC2)cc1-c1cc2c(cn1)C1(CCCC1)C(=O)N2","CC(C)(C)c1ccc(Oc2nccc(-c3c(-c4ccc(F)cc4)ncn3C3CCNCC3)n2)cc1","O=C(NC1CC1)c1cccc(-c2ccc3c(c2)NC(=O)C32CCCC2)c1","margin = 0.35"
"9678","Cc1ccc(C(=O)NC2CC2)cc1-c1cc2c(cn1)C1(CCCC1)C(=O)N2","CC(C)c1nnc2ccc(-c3ocnc3-c3cc(F)ccc3F)cn12","Cc1ccc(C(=O)Nc2nc[nH]n2)cc1-c1ccc2c(c1)NC(=O)C21CCCC1","margin = 0.35"
"9679","Cc1ccc(C(=O)NC2CC2)cc1-c1cc2c(cn1)C1(CCCC1)C(=O)N2","COc1cccc(OC)c1-c1c(N)c(C(=O)c2ccc(F)cc2F)cc[n+]1[O-]","Cc1ccc(C(=O)NC2CC2)cc1-c1ccc(C(=O)NCC2CC2)cn1","margin = 0.35"
"9680","Cc1ccc(C(=O)NC2CC2)cc1-c1cc2c(cn1)C1(CCCC1)C(=O)N2","Cc1ccc(C(=O)NC2CC2)cc1Nc1cc(=O)n(C)c2c1cnn2-c1c(F)cccc1F","c1ccc(-c2ncoc2-c2ccc3nnc(-c4ccno4)n3c2)cc1","random"
"9681","Cc1ccc(C(=O)NC2CC2)cc1-c1cc2c(cn1)C1(CCCC1)C(=O)N2","CC(C)(C)c1cc(NC(=O)Nc2ccc(Oc3ccnc4[nH]c(=O)cnc34)c3ccccc23)n(-c2ccc(CO)cc2)n1","Cc1ccc(C(=O)NCC2CC2)cc1-n1cnc2ccc(N3CCN(C)CC3)cc2c1=O","random"
"9682","Cc1ccc(C(=O)NC2CC2)cc1-c1cc2c(cn1)C1(CCCC1)C(=O)N2","Cc1cc(F)c(NC(=O)c2ccsc2)cc1Nc1ccc2c(c1)OCc1ccc(OCCN3CCOCC3)cc1C2=O","Cn1c(=O)n(C)c2cc(-c3[nH]c(-c4cccs4)nc3-c3ccccc3)ccc21","random"
"9683","Cc1ccc(C(=O)NC2CC2)cc1-c1cc2c(cn1)C1(CCCC1)C(=O)N2","Cc1cccc(Cl)c1NC(=O)c1cnc(NC2CCC2)s1","COc1cc(Nc2ncc3c(=O)n(-c4c(C)cccc4C)c4nc5ccccc5n4c3n2)ccc1N1CCN(C)CC1","random"
"9684","Cc1ccc(C(=O)NC2CC2)cc1-c1cc2c(cn1)C1(CCCC1)C(=O)N2","O=C(NC1CC1)c1ccc(F)c(Nc2nncc3c2cnn3-c2ccc(F)cc2F)c1","COC(Cn1c(SCC#N)nc(-c2ccc(F)cc2)c1-c1ccnc(F)c1)OC","random"
"9685","COc1ccc(Oc2nccc(-c3c(-c4ccc(F)cc4)ncn3C3CCNCC3)n2)cc1","[O-][n+]1ccc2c(-c3ccc(F)cc3Cl)ccnc2c1-c1c(Cl)cccc1Cl","O=C(NN1CCNCC1)c1cccc(Oc2nccc(-c3c(-c4ccc(F)cc4)ncn3C3CCNCC3)n2)c1","margin = 0.35"
"9686","COc1ccc(Oc2nccc(-c3c(-c4ccc(F)cc4)ncn3C3CCNCC3)n2)cc1","C=CCC(C)(C)c1nnc2ccc(Sc3ccc(F)cc3F)cn12","Nc1nccc(-c2c(-c3ccc(F)cc3)ncn2C2CCS(=O)(=O)CC2)n1","margin = 0.35"
"9687","COc1ccc(Oc2nccc(-c3c(-c4ccc(F)cc4)ncn3C3CCNCC3)n2)cc1","Cc1cccc(C)c1-c1c(N)c(C(=O)c2ccc(F)cc2F)cc[n+]1[O-]","O=C(O)CCCc1ccc(Oc2nccc(-c3c(-c4ccc(F)cc4)ncn3C3CCNCC3)n2)cc1","margin = 0.35"
"9688","COc1ccc(Oc2nccc(-c3c(-c4ccc(F)cc4)ncn3C3CCNCC3)n2)cc1","Cc1ccc(F)c(-c2ncoc2-c2ccc3nnc(C(C)C)n3c2)c1","CN(C)C(=O)c1cccc(Oc2nccc(-c3c(-c4ccc(F)cc4)ncn3C3CCNCC3)n2)c1","margin = 0.35"
"9689","COc1ccc(Oc2nccc(-c3c(-c4ccc(F)cc4)ncn3C3CCNCC3)n2)cc1","Cc1ccc(C(=O)NC2CC2)cc1Nc1ncnn2cc(C(=O)c3ccc[nH]3)c(C)c12","O=C(O)Cc1ccc(Oc2nccc(-c3c(-c4ccc(F)cc4)ncn3C3CCNCC3)n2)cc1","margin = 0.35"
"9690","COc1ccc(Oc2nccc(-c3c(-c4ccc(F)cc4)ncn3C3CCNCC3)n2)cc1","O=C(Nc1ccc(F)c(Nc2ccc3c(c2)OCc2ccc(OCCN4CCOCC4)cc2C3=O)c1)c1ccccc1","Nc1ccccc1Nc1ccc2c(c1)OCc1ncccc1C2=O","random"
"9691","COc1ccc(Oc2nccc(-c3c(-c4ccc(F)cc4)ncn3C3CCNCC3)n2)cc1","Cc1nnc(Nc2cc(C(=O)NC3CC3)ccc2Cl)c2cnn(-c3ccc(F)cc3F)c12","CCC(C)Nc1cc(-c2nc3cc(C)c(C)cc3nc2-c2ccc(F)cc2)ccn1","random"
"9692","COc1ccc(Oc2nccc(-c3c(-c4ccc(F)cc4)ncn3C3CCNCC3)n2)cc1","CN1C2CCC1CC(Nc1nc(-c3ccccc3Cl)c3c(n1)N(c1c(Cl)cccc1Cl)C(=O)NC3)C2","Cc1cccc(NCc2nc(-c3ccc4ncnn4c3)c(-c3cccc(C)n3)[nH]2)c1","random"
"9693","COc1ccc(Oc2nccc(-c3c(-c4ccc(F)cc4)ncn3C3CCNCC3)n2)cc1","CC(C)c1nnc2ccc(Sc3ccc(F)cc3F)c(Cl)n12","NC(=O)Cc1ccccc1Oc1nccc(-c2c(-c3ccc(F)cc3)ncn2C2CCNCC2)n1","random"
"9694","COc1ccc(Oc2nccc(-c3c(-c4ccc(F)cc4)ncn3C3CCNCC3)n2)cc1","Cn1c(=O)cc(Oc2cc(C(=O)NC3CC3)ccc2Cl)c2cnn(-c3cc(F)ccc3F)c21","Nc1c(C(=O)c2ccc(CCCN3CCOCC3)cc2)cnn1-c1ccc(F)cc1","random"
"9695","Cc1cccc(-c2nc(NCc3cc(F)cc(F)c3)sc2-c2ccc3ncnn3c2)n1","CN1CCN(c2ccc(Nc3ncc4c(=O)n(-c5c(Cl)cc(Cl)cc5Cl)c5nc6ccccc6n5c4n3)cc2)CC1","CNC(=O)c1ccc(C)c(Nc2ncnn3cc(C(=O)c4cccc(C)n4)c(C)c23)c1","margin = 0.6"
"9696","Cc1cccc(-c2nc(NCc3cc(F)cc(F)c3)sc2-c2ccc3ncnn3c2)n1","Cc1ccc(C(=O)Nc2ccccc2)cc1-c1ccc(C(=O)NCC2CC2)cc1","CSc1nc(-c2ccc(F)cc2)c(-c2ccnc(NCc3cccnc3)c2)[nH]1","margin = 0.6"
"9697","Cc1cccc(-c2nc(NCc3cc(F)cc(F)c3)sc2-c2ccc3ncnn3c2)n1","Cc1ccncc1Nc1cc(=O)n(C)c2c1cnn2-c1cc(F)ccc1F","CCNc1nnc2ccc(-c3ocnc3-c3ccc(F)cc3)cn12","margin = 0.6"
"9698","Cc1cccc(-c2nc(NCc3cc(F)cc(F)c3)sc2-c2ccc3ncnn3c2)n1","Fc1ccc(-c2cc(-c3ccc(Cl)cc3Cl)[nH]c2-c2ccncc2)cc1","CCOc1nnc2ccc(-c3ocnc3-c3ccc(F)cc3)cn12","margin = 0.6"
"9699","Cc1cccc(-c2nc(NCc3cc(F)cc(F)c3)sc2-c2ccc3ncnn3c2)n1","CCC(C)(C)c1cc(NC(=O)Nc2cccc(Cl)c2Cl)on1","CCN(C)c1nnc2ccc(-c3ocnc3-c3ccc(F)cc3)cn12","margin = 0.6"
"9700","Cc1cccc(-c2nc(NCc3cc(F)cc(F)c3)sc2-c2ccc3ncnn3c2)n1","Clc1ccc(-c2cc(-c3ccc(Cl)cc3)c(-c3ccncc3)[nH]2)cc1","COC(=O)c1[nH]c(C(C)(C)C)cc1NC(=O)Nc1cccc2ccccc12","random"
"9701","Cc1cccc(-c2nc(NCc3cc(F)cc(F)c3)sc2-c2ccc3ncnn3c2)n1","Cc1ccc(C(=O)NCC(C)C)cc1-c1ccc(C(=O)NCC2CC2)cc1","CC1(c2nnc3ccc(-c4ocnc4-c4cc(F)ccc4F)cn23)CCC1","random"
"9702","Cc1cccc(-c2nc(NCc3cc(F)cc(F)c3)sc2-c2ccc3ncnn3c2)n1","CC(C)c1nnc2ccc(Sc3ccc(Cl)cc3Cl)cn12","Cc1ccc(C(=O)NC2CC2)cc1Nc1ncnn2cc(C=O)c(C)c12","random"
"9703","Cc1cccc(-c2nc(NCc3cc(F)cc(F)c3)sc2-c2ccc3ncnn3c2)n1","Cc1ccc(C(=O)NCCC2CCCCC2)cc1C(=O)Nc1ccc(N)nc1","NC(=O)c1ccccc1NC(=O)Nc1ccc(Cl)c(Cl)c1","random"
"9704","Cc1cccc(-c2nc(NCc3cc(F)cc(F)c3)sc2-c2ccc3ncnn3c2)n1","CN1CCN(CCc2cccc(C(=O)c3cnn(-c4ccc(F)cc4)c3N)c2)CC1","CC(C)(C)c1cc(NC(=O)Nc2ccc(Oc3ccnc4[nH]c(=O)cnc34)c3ccccc23)n(-c2ccc(O)cc2)n1","random"
"9705","Cc1c(F)cc(C(=O)NC2CC2)cc1-c1ccc(C(=O)NCC2CC2)cn1","COc1c(NC(=O)C(=O)c2ccc(Nc3ccncn3)c3ccccc23)cc(C(C)(C)C)cc1NS(C)(=O)=O","COCCNC(=O)c1ccc(-c2cc(C(=O)NC3CC3)cc(F)c2C)cc1","margin = 0.35"
"9706","Cc1c(F)cc(C(=O)NC2CC2)cc1-c1ccc(C(=O)NCC2CC2)cn1","COC(=O)c1[nH]c(C(C)(C)C)cc1NC(=O)Nc1ccc(Cl)cc1","O=C(NCC1CC1)c1ccc(-c2cc(C(=O)NC3CC3)ccc2Cl)cc1","margin = 0.35"
"9707","Cc1c(F)cc(C(=O)NC2CC2)cc1-c1ccc(C(=O)NCC2CC2)cn1","O=C1NCc2nc(Sc3ccc(F)cc3Cl)ccc2N1c1c(Cl)cccc1Cl","O=C(NCC1CC1)c1ccc(-c2cc(C(=O)NC3CC3)ccc2F)cc1","margin = 0.35"
"9708","Cc1c(F)cc(C(=O)NC2CC2)cc1-c1ccc(C(=O)NCC2CC2)cn1","CSc1nc(-c2ccc(F)cc2)c(-c2ccnc(NCc3cccs3)c2)[nH]1","Cc1ccc(C(=O)NC2CCC2)cc1-c1ccc(C(=O)NCC2CC2)cc1","margin = 0.35"
"9709","Cc1c(F)cc(C(=O)NC2CC2)cc1-c1ccc(C(=O)NCC2CC2)cn1","COCC(=O)Nc1cc(C(C)(C)Oc2ccc(NC(=O)Nc3cc(C(C)(C)C)nn3-c3ccc(C)cc3)c3ccccc23)ccn1","Cc1c(F)cc(C(=O)NC2CC2)cc1-c1ccc(C(=O)NCC2CCCO2)cc1","margin = 0.35"
"9710","Cc1c(F)cc(C(=O)NC2CC2)cc1-c1ccc(C(=O)NCC2CC2)cn1","COc1cc2ncnc(Nc3cc(NC(=O)c4ccccc4)ccc3C)c2cc1OC","CSc1nc(-c2cccc(C(F)(F)F)c2)c(-c2ccnc(NC(C)c3ccccc3)c2)[nH]1","random"
"9711","Cc1c(F)cc(C(=O)NC2CC2)cc1-c1ccc(C(=O)NCC2CC2)cn1","Cc1ccc(C(=O)NC2CC2)cc1-c1ccc2c(c1)NC(=O)C21CCSCC1","Cc1ccc(C(=O)Nc2nncs2)cc1-c1ccc(C(=O)NCC2CC2)cc1","random"
"9712","Cc1c(F)cc(C(=O)NC2CC2)cc1-c1ccc(C(=O)NCC2CC2)cn1","CCn1c(=O)n(CC)c2cc(-c3c[nH]nc3-c3cccc(C(F)(F)F)c3)ccc21","CCCOc1ccc(Br)cc1-c1cc(-c2ccc(Cl)cc2)[nH]c1-c1ccncc1","random"
"9713","Cc1c(F)cc(C(=O)NC2CC2)cc1-c1ccc(C(=O)NCC2CC2)cn1","CC(C)S(=O)(=O)n1c(N)nc2ccc(-c3[nH]cnc3-c3ccccc3)cc21","Cc1ccccc1Nc1ccc(=O)n(-c2ccccc2Cl)n1","random"
"9714","Cc1c(F)cc(C(=O)NC2CC2)cc1-c1ccc(C(=O)NCC2CC2)cn1","COC(=O)CSc1nc(-c2ccc(F)cc2)c(-c2ccnc(NC(C)C(C)C)c2)[nH]1","CC(C)(C)c1cc(NC(=O)Nc2ccccc2)n(-c2cccc(CNC(=O)Cn3ccnc3)c2)n1","random"
"9715","O=c1ncn2nc(Sc3ccccc3)ccc2c1-c1ccccc1C(F)(F)F","COc1ccc(C(=O)Nc2cc(NC(=O)c3cccc(N(C)C)c3)ccc2F)cc1OC","O=c1ncn2nc(Sc3ccc(F)cc3F)ccc2c1-c1c(Cl)cccc1Cl","margin = 0.45"
"9716","O=c1ncn2nc(Sc3ccccc3)ccc2c1-c1ccccc1C(F)(F)F","CS(=O)(=O)N1CCC(c2[nH]nc(-c3ccc(Cl)cc3)c2-c2ccncn2)CC1","O=c1ncn2nc(Sc3ccc(F)cc3Cl)ccc2c1-c1c(Cl)cccc1Cl","margin = 0.45"
"9717","O=c1ncn2nc(Sc3ccccc3)ccc2c1-c1ccccc1C(F)(F)F","O=C(O)c1ccc(-c2nnc3ccc(Sc4ccc(F)cc4F)cn23)cc1","O=C1c2ccc(Nc3ccc(F)cc3F)cc2CCc2c(OCCN3CCOCC3)cccc21","random"
"9718","O=c1ncn2nc(Sc3ccccc3)ccc2c1-c1ccccc1C(F)(F)F","Cn1nc(C(C)(C)C)cc1NC(=O)Nc1ccc(Cc2ccc(NC(=O)CCC(=O)O)cc2)cc1","CONC(=O)c1ccc(C)c(Nc2ncnn3cc(C(=O)NC(C)C)c(C)c23)c1","random"
"9719","CC(C)(C)c1cc(NC(=O)Nc2ccc(Cl)cc2)c(CN2CCS(=O)(=O)CC2)s1","NC(=O)c1cccc(-c2nnc3ccc(Sc4ccc(F)cc4F)cn23)c1","CC(C)(C)c1cc(C(=O)N2CCNS(=O)(=O)CC2)c(NC(=O)Nc2ccc(Cl)cc2)s1","margin = 0.4"
"9720","CC(C)(C)c1cc(NC(=O)Nc2ccc(Cl)cc2)c(CN2CCS(=O)(=O)CC2)s1","O=C1c2ccc(Nc3ccc(F)cc3F)cc2CCc2ncccc21","CC(C)(C)c1cc(C(=O)N2CCNC(=O)CC2)c(NC(=O)Nc2ccc(Cl)cc2)s1","margin = 0.4"
"9721","CC(C)(C)c1cc(NC(=O)Nc2ccc(Cl)cc2)c(CN2CCS(=O)(=O)CC2)s1","Cc1cccc(-c2[nH]c(CNc3cc(C#N)ccc3CN3CCOCC3)nc2-c2ccc3ncnn3c2)n1","O=C1NCc2c(-c3ccc(F)cc3F)cc(NC3CCNCC3)cc2N1c1c(Cl)cccc1Cl","random"
"9722","CC(C)(C)c1cc(NC(=O)Nc2ccc(Cl)cc2)c(CN2CCS(=O)(=O)CC2)s1","CC(C)(C)c1cc(NC(=O)Nc2ccc(Cl)c(COc3cccnc3)c2)[nH]n1","O=C(NCCCl)c1ccc2c(c1)C(=O)c1ccc(Nc3ccc(F)cc3F)cc1CC2","random"
"9723","Cc1ccc(C(=O)NC2CC2)cc1-c1cc2nnc(-c3c(F)cccc3Cl)n2n(C)c1=O","CCN(C)c1nnc2ccc(-c3ocnc3-c3ccccc3)cn12","Cc1c(F)cc(C(=O)NC2CC2)cc1-c1ccc(C(=O)NCC2CCCO2)cc1","margin = 0.5"
"9724","Cc1ccc(C(=O)NC2CC2)cc1-c1cc2nnc(-c3c(F)cccc3Cl)n2n(C)c1=O","COc1ccccc1Oc1nccc(-c2c(-c3ccc(F)cc3)ncn2C2CCNCC2)n1","Cc1ccc(C(=O)NC2CC2)cc1-c1ccc(C(=O)NCCCN(C)C)cc1","margin = 0.5"
"9725","Cc1ccc(C(=O)NC2CC2)cc1-c1cc2nnc(-c3c(F)cccc3Cl)n2n(C)c1=O","CCNc1nnc2ccc(-c3ocnc3-c3ccc(F)cc3)cn12","Cc1ccc(C(=O)NC2CC2)cc1-c1ccc(C(=O)NN)cc1","margin = 0.5"
"9726","Cc1ccc(C(=O)NC2CC2)cc1-c1cc2nnc(-c3c(F)cccc3Cl)n2n(C)c1=O","CSc1ccc(-c2nc(-c3ccc(F)cc3)c(-c3ccnc4[nH]c(-c5ccccc5)cc34)[nH]2)cc1","Cc1ccc(C(=O)NC2CC2)cc1-c1ccc(C(=O)NCCCO)cc1","margin = 0.5"
"9727","Cc1ccc(C(=O)NC2CC2)cc1-c1cc2nnc(-c3c(F)cccc3Cl)n2n(C)c1=O","Nc1cc(F)ccc1Nc1ccc2c(c1)OCc1cc(OCCN3CCOCC3)ccc1C2=O","Cc1ccc(C(=O)NC2CC2)cc1-c1ccc(C(=O)NCC2CC2)cn1","margin = 0.5"
"9728","Cc1ccc(C(=O)NC2CC2)cc1-c1cc2nnc(-c3c(F)cccc3Cl)n2n(C)c1=O","COC(=O)c1oc(C(C)(C)C)cc1NC(=O)Nc1ccc(C)cc1","Cc1ccc(-c2[nH]cnc2C)cc1NC(=O)c1ccc(OCc2ccccn2)cc1","random"
"9729","Cc1ccc(C(=O)NC2CC2)cc1-c1cc2nnc(-c3c(F)cccc3Cl)n2n(C)c1=O","COc1cc(Nc2ncnc(-n3c(Nc4c(C)cccc4C)nc4ccccc43)n2)cc(OC)c1OC","Cc1ccc(-n2nc(C(C)(C)C)cc2NC(=O)Nc2ccc(OCCc3ccccn3)c3ccccc23)cc1","random"
"9730","Cc1ccc(C(=O)NC2CC2)cc1-c1cc2nnc(-c3c(F)cccc3Cl)n2n(C)c1=O","CC(C)C[C@H](NC(=O)c1ccc2c(c1)C(=O)c1ccc(Nc3ccc(F)cc3F)cc1CC2)C(=O)O","COc1ccc(C(=O)Nc2cc(NC(=O)c3cccc(N(C)C)c3)ccc2F)cc1OC","random"
"9731","Cc1ccc(C(=O)NC2CC2)cc1-c1cc2nnc(-c3c(F)cccc3Cl)n2n(C)c1=O","CSc1nccc(-c2[nH]c(-c3ccc(O)cc3)nc2-c2ccc(F)cc2)n1","C=CCOc1ccccc1-c1cc(-c2ccc(Cl)cc2)[nH]c1-c1ccncc1","random"
"9732","Cc1ccc(C(=O)NC2CC2)cc1-c1cc2nnc(-c3c(F)cccc3Cl)n2n(C)c1=O","Cn1c(=O)c(Oc2ccc(F)cc2F)cc2cnc(NC3CCOCC3)nc21","Cc1cccc(-c2[nH]c(CNc3cc(C#N)cc(CN4CCOCC4)c3)nc2-c2ccc3ncnn3c2)n1","random"
"9733","Cc1ccc(C(=O)NC2CC2)cc1Oc1nncc2c1cnn2-c1ccc(F)cc1F","CC(C)OC(=O)Nc1ccc(Oc2ccc(NC(=O)Nc3cc(C(C)(C)C)nn3C)cc2)cc1","Cc1ccc(C(=O)NC(C)(C)C)cc1Nc1cc(=O)n(C)c2c1cnn2-c1ccc(F)cc1F","margin = 0.45"
"9734","Cc1ccc(C(=O)NC2CC2)cc1Oc1nncc2c1cnn2-c1ccc(F)cc1F","O=C(Nc1cccc(Nc2ccc3c(c2)CCc2ccccc2C3=O)c1)c1ccoc1","Cc1ccc(C(=O)O)cc1Nc1cc(=O)n(C)c2c1cnn2-c1ccc(F)cc1F","margin = 0.45"
"9735","Cc1ccc(C(=O)NC2CC2)cc1Oc1nncc2c1cnn2-c1ccc(F)cc1F","CCNC(=O)c1ccc(C)c(Nc2ncnn3cc(C(=O)c4ccccc4)c(C)c23)c1","COc1ccc(-n2ncc(C(=O)c3ccccc3)c2N)cc1","random"
"9736","Cc1ccc(C(=O)NC2CC2)cc1Oc1nncc2c1cnn2-c1ccc(F)cc1F","[O-][n+]1ccc2c(-c3ccccc3Cl)cc(N3CCNCC3)nc2c1-c1c(Cl)cccc1Cl","Cc1cccc(-c2[nH]c(CNc3cccc(C#N)c3C#N)nc2-c2ccc3ncnn3c2)n1","random"
"9737","Cc1ccc(NC(=O)c2ccccc2)cc1Nc1ncnn2cc(C(=O)N[C@@H](C)c3ccccc3)c(C)c12","Cc1cccc(Oc2nccc(-c3c(-c4ccc(F)cc4)ncn3C3CCNCC3)n2)c1C","Cc1ccc(C(=O)O)cc1Nc1ncnn2cc(C(=O)c3ccccc3)c(C)c12","margin = 0.35"
"9738","Cc1ccc(NC(=O)c2ccccc2)cc1Nc1ncnn2cc(C(=O)N[C@@H](C)c3ccccc3)c(C)c12","COc1nccc(-c2c(-c3ccc(F)cc3)ncn2[C@H]2CC[C@H](O)CC2)n1","CNC(=O)c1ccc(C)c(Nc2ncnn3cc(C(=O)OC)c(C)c23)c1","margin = 0.35"
"9739","Cc1ccc(NC(=O)c2ccccc2)cc1Nc1ncnn2cc(C(=O)N[C@@H](C)c3ccccc3)c(C)c12","CC(C)(C)N1CCC(c2cc(-c3ccccc3Cl)c3ccc(=O)n(-c4c(Cl)cccc4Cl)c3c2)CC1","Cc1ccc(NC(=O)c2cc(C(F)(F)F)cc(C(F)(F)F)c2)cc1Nc1ncnn2cc(C(=O)N[C@@H](C)c3ccccc3)c(C)c12","margin = 0.35"
"9740","Cc1ccc(NC(=O)c2ccccc2)cc1Nc1ncnn2cc(C(=O)N[C@@H](C)c3ccccc3)c(C)c12","CC(C)c1nnc2ccc(-c3cnoc3-c3cc(F)ccc3F)cn12","CCNC(=O)c1cn2ncnc(Nc3cc(NC(=O)c4cccc(-n5cccn5)c4)ccc3C)c2c1C","margin = 0.35"
"9741","Cc1ccc(NC(=O)c2ccccc2)cc1Nc1ncnn2cc(C(=O)N[C@@H](C)c3ccccc3)c(C)c12","CSc1nc(-c2ccc(F)cc2)c(-c2ccnc(NC(=O)Cc3ccc(Cl)cc3)c2)n1C","CCNC(=O)c1cn2ncnc(Nc3cc(C(=O)NC(C)C)ccc3C)c2c1C","margin = 0.35"
"9742","Cc1ccc(NC(=O)c2ccccc2)cc1Nc1ncnn2cc(C(=O)N[C@@H](C)c3ccccc3)c(C)c12","[O-][n+]1ccc2c(-c3ccc(F)cc3F)ccnc2c1-c1c(Cl)cccc1Cl","CC(C)(C)c1ccc(C(=O)Nc2cc(Nc3ccc4c(c3)CCCCC4=O)ccc2F)cc1","random"
"9743","Cc1ccc(NC(=O)c2ccccc2)cc1Nc1ncnn2cc(C(=O)N[C@@H](C)c3ccccc3)c(C)c12","COCCOCCN1CCN(C(=O)c2cc(C(C)(C)C)sc2NC(=O)Nc2cccc(Cl)c2Cl)CCC1=O","CN1CCN(Cc2ccc(C(=O)Nc3ccc(OCCN4CCOCC4)c4ccccc34)cc2)CC1","random"
"9744","Cc1ccc(NC(=O)c2ccccc2)cc1Nc1ncnn2cc(C(=O)N[C@@H](C)c3ccccc3)c(C)c12","COc1ccc2c(c1)C(=O)c1ccc(Nc3ccccc3)cc1CC2","Cc1cccc(C)c1-n1c(=O)c2cnc(Nc3ccc(OCCCN4CCCCC4)cc3)nc2n2c3ccccc3nc12","random"
"9745","Cc1ccc(NC(=O)c2ccccc2)cc1Nc1ncnn2cc(C(=O)N[C@@H](C)c3ccccc3)c(C)c12","CNc1ncc2cc(-c3cc(NC(=O)Nc4cccc(C(F)(F)F)c4)ccc3C)ccc2n1","CCOC(=O)CCn1c(SC)nc(-c2ccc(F)cc2)c1-c1ccnc(NC(C)=O)c1","random"
