"","A","P","N","margin"
"1432","O=c1c(-c2ccc(F)cc2)c(-c2ccncc2)c2ccccc2n1CCc1ccccc1","CCCOC(=O)c1ccc2c(c1)C(=O)c1ccc(Nc3ccc(F)cc3F)cc1CC2","CC#Cn1c(=O)c(-c2ccc(F)cc2)c(-c2ccncc2)c2ccccc21","margin = 0.35"
"1433","O=c1c(-c2ccc(F)cc2)c(-c2ccncc2)c2ccccc2n1CCc1ccccc1","Cc1ccc(C(=O)Nc2ccon2)cc1NC(=O)c1cnn(-c2ccc(F)cc2)c1N","Cn1c(=O)c(-c2ccc(F)cc2)c(-c2ccncc2)c2ccccc21","margin = 0.35"
"1434","O=c1c(-c2ccc(F)cc2)c(-c2ccncc2)c2ccccc2n1CCc1ccccc1","CCc1nc(-c2cccc(C)c2)c(-c2ccnc(NC3CCCC3)c2)s1","Fc1ccc(-c2ncn(C3CCNCC3)c2-c2ccnc(Oc3cccc(C(F)(F)F)c3)n2)cc1","random"
"1435","O=c1c(-c2ccc(F)cc2)c(-c2ccncc2)c2ccccc2n1CCc1ccccc1","CC(=O)CSc1nc(-c2ccc(F)cc2)c(-c2ccnc(NC(C)=O)c2)n1C","Cc1ccc(C(=O)NCCC2CCCC2)cc1C(=O)Nc1ccc(N)nc1","random"
"1436","O=c1c(-c2ccc(F)cc2)c(-c2ccncc2)c2ccccc2n1CCc1ccccc1","CC(Nc1cc(-c2[nH]c(SCC(=O)O)nc2-c2ccc(F)cc2)ccn1)c1ccccc1","CCCOc1ccccc1-c1cc(-c2ccc(Cl)cc2)[nH]c1-c1ccncc1","random"
"1437","CC(C)c1nnc2ccc(-c3ocnc3-c3ccc(Cl)cc3)cn12","CCNc1nccc(-c2c(-c3ccc(F)cc3)ncn2C2CCN(C)CC2)n1","FC(F)c1nnc2ccc(-c3ocnc3-c3ccccc3)cn12","margin = 0.35"
"1438","CC(C)c1nnc2ccc(-c3ocnc3-c3ccc(Cl)cc3)cn12","CONC(=O)c1ccc(C)c(Nc2ncnn3cc(NC(=O)OC(C)C)c(C)c23)c1","CC(C)(C)c1cc(NC(=O)Nc2ccc(Cl)c(Cl)c2)on1","random"
"1439","O=C(NC1CC1)c1ccc(Cl)c(Nc2nncc3c2cnn3-c2c(F)cccc2F)c1","COCC(=O)Nc1cc(CCOc2ccc(NC(=O)Nc3cc(C(C)(C)C)nn3-c3ccc(C)cc3)c3ccccc23)ccn1","Cc1ccc(C(=O)NC2CC2)cc1Nc1ncnn2cc(CO)c(C)c12","margin = 0.55"
"1440","O=C(NC1CC1)c1ccc(Cl)c(Nc2nncc3c2cnn3-c2c(F)cccc2F)c1","CNC(=O)c1[nH]c(C(C)(C)C)cc1NC(=O)Nc1cccc2ccccc12","O=C(NCC1CC1)c1ccc(-c2cc(C(=O)NC3CC3)ccc2Cl)cc1","margin = 0.55"
"1441","O=C(NC1CC1)c1ccc(Cl)c(Nc2nncc3c2cnn3-c2c(F)cccc2F)c1","COc1nccc(-c2[nH]c(Cc3cccc(C#N)c3)nc2-c2ccc(F)cc2)n1","O=C(NC1CC1)c1cccc(Nc2ccc3c(c2)CCc2ccccc2C3=O)c1","margin = 0.55"
"1442","O=C(NC1CC1)c1ccc(Cl)c(Nc2nncc3c2cnn3-c2c(F)cccc2F)c1","Cc1ccc(Oc2nccc(-c3c(-c4ccc(F)cc4)ncn3C3CCNCC3)n2)cc1","O=C(NC1CC1)c1cccc(-c2ccc3c(N4CCOCC4)nncc3c2)c1","margin = 0.55"
